兴盛优选,数据分析专家,长沙,15-25K·16薪,3-5年本科,电子商务,"数据挖掘,建模,硕士或博士,策略报告,数据分析专家"
鸡毛山科技,数据分析师,长沙,4-9K,1年以内本科,电子商务,"数据库开发,数据挖掘,大数据,数据分析师,电子商务"
蜜獾信息,数据分析师（SD0902）,长沙,7-12K·13薪,3-5年本科,计算机软件,"数据挖掘,数据挖掘算法,数据分析师,业务数据分析,海量数据"
互美科技,服装类数据分析,长沙,5-8K,1-3年大专,电子商务,"服装类目,数据分析报表,进销存分析,货品采购,品牌销售"
芒果tv,数据分析（资源管理）,长沙,8-10K,3-5年本科,互联网,"数据深度,数据化,资源管理,芒果tv,数字化"
百润鑫科技,数据分析师,长沙,4-5K,经验不限大专,批发/零售,"大数据,数据分析师,订单处理,维护客户,发货"
湖南镭目科技有限公司,数据分析师,长沙,10-15K,1-3年硕士,机械设备/机电/重工,"数据挖掘,优化空间,数据分析师,业务流程,统计学习"
智研咨询,数据分析师,长沙,4-8K,1-3年本科,企业服务,"Excel,BI,Tableau,Python,逻辑归纳"
航天海特智慧交通,数据分析师,长沙,9-14K,1-3年本科,交通/运输,"Python,车联网,ETL,SQL,MySQL"
潭州教育,数据分析师（食宿+五险）,长沙,3-8K,1-3年大专,互联网,"统计学,BI,商业分析,Python,数据价值"
购玖连锁,数据分析/数据运营,长沙,10-15K·13薪,3-5年本科,电子商务,"数据运营,业务运营,相关数据分析,归因分析,改善建议"
热血大任,数据分析,长沙,3-6K,在校/应届本科,游戏,"数据结构,经济系统,公式设计,数值模型,数值框架"
华夏威科,数据分析,长沙,10-15K,5-10年本科,计算机软件,"商业分析,大数据,数据挖掘,BI,Python"
三湘银行,数据分析经理,长沙,12-20K,3-5年本科,银行,"数据挖掘,计算机信息类,第三方数据,逻辑回归,关联分析"
梦洁家纺,数据分析与研究,长沙,7-12K,1-3年本科,生活服务,"商业分析,零售店铺,业务需求,负责建立,报表分析"
百家汇,数据分析师,长沙,10-15K·13薪,3-5年本科,互联网,"SQL,SPSS,数据分析方向,数据挖掘,数据仓库"
湖南九千九企业管...,数据分析师,长沙,10-11K,3-5年本科,咨询,"数据分析,数据分析师,数据加工,整理分析,分析能力"
广东讯脉科技有限公司,数据分析,长沙,12-24K,3-5年大专,电子商务,"数据挖掘,数据仓库,评估业务,负责项目,方案输出"
益湘通,数据分析员,长沙,3-4K,1-3年大专,食品/饮料/烟酒,"Excel,商业分析,数据分析员,销售数据,安全管理"
佳瑞德,数据分析师,长沙,6-7K,1-3年本科,数据服务,"数据分析师,计算机相关,熟练使用办公软件,能协调,采集数据"
海南爱瑞高,数据分析主管,长沙,6-8K,1-3年大专,食品/饮料/烟酒,"数据分析主管,日常产品,汇总整理,运营管理,业务数据"
北京海天起点技术...,数据分析工程师,长沙,8-12K·13薪,1-3年本科,计算机软件,"数据挖掘,Python,网络爬虫技术,数据分析工程师,爬虫"
湖南广播电视台,数据分析,长沙,6-10K·13薪,1-3年本科,媒体,"第三方数据,业务前台,机构数据,新媒体,市场环境"
梧桐电子,数据分析,长沙,8-11K,3-5年大专,批发/零售,"数据价值,运营推广,业务数据,使用培训,提供数据分析"
中魁网御,数据分析师,长沙,4-5K,3-5年本科,互联网,"数据挖掘,数据分析师,数据处理,数据清洗,"
智鸿科技,数据分析师,长沙,6-8K,3-5年大专,计算机软件,"数据价值,需求场景,数据分析师,帮助客户,理解用户"
湖南中广联售电,售电数据分析师,长沙,3-7K,1-3年本科,新能源,"数据挖掘,数据处理,数据分析师,负责建立,数学模型"
张家界蒿子峪国际酒店,数据分析师,长沙,12-15K·13薪,经验不限本科,酒店,"Python,SQL,商业分析,建模,数据分析师"
大业食品,市场数据分析,长沙,4-6K,3-5年大专,贸易/进出口,"数据挖掘,数据分析,销售流向,采集数据,市场数据分析"
神农蜂集团,数据分析师,长沙,4-5K,3-5年本科,医疗,"数据分析师,运营团队,业务数据分析,报表制作,营销"
希尔生命,数据分析师,长沙,3-5K·14薪,1-3年本科,医疗,"电子商务,商业数据分析,数据分析师,电商,行业数据分析"
道道全,数据分析工程师,长沙,6-11K,3-5年本科,食品/饮料/烟酒,"数据仓库,数据分析,业务模型设计,报表开发工具,Kettle"
弯弓信息,数据分析师,长沙,8-15K,3-5年本科,互联网,"数据挖掘,数据库开发,数据价值,数据分析师,软件服务"
国源科技,数据分析师,长沙,5-10K,1年以内本科,计算机软件,"地理信息,数据运营,地理信息系统专业,arcgis软件,数据处理员"
晓光模具,热成型数据分析工程师,长沙,6-11K,3-5年大专,汽车生产,"热流道,热成型,数据分析工程师,热成型模具,工艺"
中南知产,数据分析师,长沙,2-3K,1年以内大专,专利/商标/知识产权,"信息安全,数据分析师,咨询,录入,修改合同"
河南聚蓝环保科技...,数据分析师,长沙,4-5K,经验不限本科,环保,"数据处理,数据挖掘,数据分析师,熟练使用电脑,处理数据"
起峰科技,数据分析师,长沙,4-9K,经验不限大专,电子商务,"数据仓库,商业分析,数据挖掘,BI,SaaS"
克徕帝珠宝,数据分析,长沙,4-6K,1年以内大专,互联网,"档案,文员,行政,数据分析,全国门店"
金审,数据分析师,长沙,10-11K·16薪,5-10年大专,计算机软件,"数据挖掘,数据分析师,数据分析流程,运用数据,统计学"
蕴硕物联,数据分析师,长沙,11-18K,3-5年硕士,计算机软件,"Python,Tableau,数据开发,BI,工程化"
三一集团,大数据分析工程师,长沙,15-30K·16薪,5-10年本科,其他行业,"数据仓库,数据挖掘,数据分析工程师,业务数据,分析研发"
生意无忧,数据分析,长沙,3-4K,在校/应届大专,电子商务,"问题数据,提出改进方案,研究竞争对手,优化方案,方案测试"
草花互动,手游数据分析师,长沙,10-15K·13薪,3-5年本科,游戏,"手机游戏,专项数据,游戏数值,游戏生态,数据价值"
鲜橙科技,数据分析组组长,长沙,4-6K,1-3年大专,电子商务,"门店运营,数据分析,各类数据,运营过程,改善建议"
长翼正,数据分析员,长沙,6-10K,1-3年大专,电子商务,"数据分析,电子商务,数据运营,海量数据分析,建模"
蓝思科技,大数据分析工程师,长沙,10-15K,3-5年大专,其他行业,"Hive,数据分析工程师,大数据平台,Etl开发,数据库sql"
湖南人和律师事务所,数据分析岗,长沙,4-9K,1年以内学历不限,企业服务,"银行,数据分析岗,律所,数据管理,处理投诉"
医管家,数据分析文员（劳务派遣至省人民医院）,长沙,3-4K,1年以内大专,其他服务业,"医院卫生,医疗健康,文员,劳务派遣,人民医院"
览众智能,市场调研员/数据分析师,长沙,4-6K,1年以内大专,其他服务业,"市场调研员,数据分析师,投放,市场调研,产品信息"
华经艾凯,数据分析师,长沙,3-7K,经验不限本科,咨询,"商业分析,数据挖掘,市场研究,Excel,监测数据"
长沙沃邦,数据分析师,长沙,2-7K,经验不限大专,企业服务,"建模,数据分析师,数据统计分析,统计学,使用excel"
由创科技,数据分析师,长沙,15-20K·13薪,经验不限学历不限,互联网,"数据挖掘,商业分析,数据开发,数据分析师,吃苦耐劳"
蒂科蒙科技,数据分析师,长沙,5-8K,1-3年本科,贸易/进出口,"统计学,数据挖掘,数据分析师,电子商务,平台数据"
益丰大药房,数据分析,长沙,10-15K·13薪,3-5年本科,医疗,"Python,SPSS,数据挖掘,大数据,MySQL"
明源云,数据工程师/数据分析师,长沙,6-10K,经验不限本科,计算机软件,"数据工程师,数据挖掘,数据价值,数据分析师,地产开发"
兴盛优选,数据分析师,长沙,15-30K,经验不限本科,电子商务,"Tableau,SAS,SPSS,Excel,SQL"
蜜獾信息,数据分析师（SD0902）,长沙,10-15K·13薪,3-5年本科,计算机软件,"数据挖掘,数据分析师,业务数据分析,海量数据,需求梳理"
梦洁家纺,数据分析师,长沙,6-10K,1-3年本科,生活服务,"数据分析师,零售店铺,业务需求,负责建立,报表分析"
中魁网御,高级数据分析师,长沙,15-20K,3-5年本科,互联网,"MySQL,Redis,数据仓库,SQL,Java"
湖南领度,数据分析师,长沙,5-8K,经验不限本科,广告,"数据仓库,数据处理,建模,数据分析师,理解产品"
名利天下,数据分析师+包吃包住,长沙,3-7K,经验不限学历不限,移动互联网,"数据分析,数据挖掘,包吃,包住,月休4天"
晓光模具,热成型数据分析工程师,长沙,6-11K,3-5年大专,汽车生产,"热流道,热成型,数据分析工程师,热成型模具,工艺"
张家界蒿子峪国际酒店,数据分析师,长沙,10-13K·13薪,经验不限本科,酒店,"SQL,Python,需求分析,Hive,建模"
三湘银行,数据分析经理,长沙,15-20K,3-5年本科,银行,"Python,MySQL,市场数据分析,市场调研,商业分析"
三一集团,大数据分析工程师,长沙,18-35K,3-5年本科,其他行业,"ETL,数据挖掘,数据仓库,Hive,分析结论"
